iter	TotalF1	MultiClass
96	0.9958578347	0.007651729102
97	0.9958678075	0.007617010793
98	0.995870712	0.007551743881
99	0.9958737286	0.007540743585
100	0.9958758608	0.007485967504
101	0.9958768215	0.007471679127
102	0.9958764076	0.007458477716
103	0.9958774008	0.007452594875
104	0.9958776077	0.007411659271
105	0.9958817224	0.007386433118
106	0.9958825623	0.007371842649
107	0.9958850937	0.007358914514
108	0.9958856554	0.007349397783
109	0.9958875326	0.007280799036
110	0.9958894181	0.007273539036
111	0.9958904807	0.007254325405
112	0.9958913217	0.007230164329
113	0.9958923592	0.007204336913
114	0.9958929879	0.007182540655
115	0.995895235	0.007157455991
116	0.9958955147	0.007154582793
117	0.9958997131	0.007120678381
118	0.9959073599	0.007052133166
119	0.9959097016	0.007026058956
120	0.9959117989	0.007018334412
121	0.995914144	0.006990730102
122	0.9959145684	0.006923911307
123	0.9959159106	0.00690423566
124	0.9959176938	0.006881370265
125	0.9959180483	0.006874581365
126	0.9959224222	0.006840137983
127	0.9959742796	0.006799250204
128	0.9961182209	0.006738454309
129	0.9962061924	0.006699217768
130	0.9961631475	0.006661871111
131	0.9965189401	0.00662125288
132	0.996680856	0.006532128733
133	0.9967111255	0.006505122834
134	0.996770332	0.006461359125
135	0.9968057775	0.006419588539
136	0.9968847719	0.006346023655
137	0.9970133251	0.006252355891
138	0.9970323067	0.006198338081
139	0.997086298	0.006137687667
140	0.9971746363	0.006056420203
141	0.9972428531	0.006008765032
142	0.9972598265	0.005940618889
143	0.9972779837	0.00588777492
144	0.9972797426	0.005837816674
145	0.9972635552	0.005779528599
146	0.9972816168	0.005733102464
147	0.9972817044	0.005652753233
148	0.9973164896	0.005602668789
149	0.9973340726	0.005573000927
150	0.9973346129	0.005536546591
151	0.9973172854	0.005489038048
152	0.9973519084	0.005439218885
153	0.9974041241	0.005388903097
154	0.9975058207	0.005336286331
155	0.9975226074	0.005293188179
156	0.9975226205	0.005272292959
157	0.9975726034	0.005239153379
158	0.9976077318	0.005216713994
159	0.9976904088	0.005180079416
160	0.9976604666	0.005132487356
161	0.9977090532	0.005097374294
162	0.9977093304	0.00506232214
163	0.9977428953	0.005039390463
164	0.9977592371	0.005005247727
165	0.9977914757	0.004975866233
166	0.9978233662	0.004931357534
167	0.9978236115	0.004898362933
168	0.9978554758	0.004860562781
169	0.99782376	0.004835471644
170	0.9978078458	0.004806969749
171	0.9978396464	0.004770632287
172	0.9978399038	0.00475759956
173	0.9979032458	0.004741375151
174	0.9979032452	0.004726488688
175	0.9979892368	0.004670165688
176	0.9979893004	0.004650360294
177	0.9979893692	0.00463742671
178	0.9980671915	0.004606969637
179	0.9980674324	0.004580070016
180	0.9981580163	0.004553148813
181	0.9981732307	0.004541897207
182	0.9981884108	0.004510045356
183	0.9982203803	0.004493229514
184	0.9982354462	0.004464799242
185	0.9982654662	0.004437506206
186	0.9982504844	0.004402793668
187	0.9983250945	0.004386808771
188	0.9983250962	0.004362823861
189	0.9983694196	0.004345689975
190	0.9983694189	0.004330440047
191	0.9983844004	0.004317760899
192	0.9984137262	0.004286873436
193	0.9984429069	0.004256553103
194	0.9984574742	0.004226837648
195	0.9984867408	0.004208042624
196	0.998515618	0.004186750577
197	0.9985589498	0.004163587724
198	0.998573248	0.004140140657
199	0.9986017559	0.004107747043
200	0.9986443047	0.00409246916
201	0.998630155	0.004062676335
202	0.9986443066	0.004035739633
203	0.9986301543	0.004008227592
204	0.9986865879	0.00399464538
205	0.9986865895	0.003982508383
206	0.9987006352	0.00395705645
207	0.9986866079	0.003937396927
208	0.998700896	0.003923572149
209	0.9987288886	0.003908862166
210	0.9987288911	0.003889780243
211	0.9987570259	0.003865174116
212	0.9987570265	0.003856484547
213	0.9987291454	0.003839796883
214	0.9987570295	0.003822595658
215	0.9987570332	0.003800266249
216	0.9987709351	0.003783912397
217	0.9988124838	0.003753281576
218	0.9988124833	0.003734577782
219	0.9988124857	0.00372258868
220	0.9987986626	0.003707864133
221	0.9988400555	0.003690171828
222	0.9988538019	0.003680412629
223	0.9988675238	0.003662531491
224	0.99888145	0.003655446695
225	0.9989087678	0.00364010276
226	0.9988951209	0.003629659631
227	0.9988402936	0.003616002649
228	0.9988540418	0.003599011244
